0104,61600105
732BR0370,A14L850075
732BR0371,A14L850031
732BR0372,A14L850001
732BR0373,A14L850118
732BR0374,A14L850057
732BR0375,A14L850091
732BR0376,A14L850008
732BR0377,A14L850020
732BR0378,A14L850042
732BR0380,A14L850115
732BR0381,A14L850108
732BR0382,A14L850086
732BR0383,A14L850092
732BR0384,A14L850085
732BR0385,A14L850116
732BR0386,A14L850049
732BR0387,A14L850047
732BR0388,A14L850109
732BR0389,A14L850110
732BR0390,A14L850032
732BR0391,A14L850034
732BR0392,A14L850107
732BR0393,A14L850102
732BR0394,A14L850058
732BR0395,A14L850101
732BR0396,A14L850125
732BR0397,A14L850087
732BR0398,A14L850126
732BR0399,A14L850090
732BR0400,A14L850088
732BR0401,A14L850099
732BR0402,A14L850033
732BR0403,A14L850123
732BR0404,A14L850124
732BR0405,A14L850100
732BR0406,A14M850003
732BR0407,A14M850001
732BR0408,A14M850004
732BR0409,A14M850098
732BR0410,A14M850002
732BR0411,A14M850035
732BR0412,A14M850096
732BR0413,A14M850034
732BR0414,A14G850003
732BR0415,A14M850097
732BR0416,A14M850015
732BR0417,A14M850016
732BR0418,A14M850037
732BR0419,A14L850093
732BR0420,A14L850094
732BR0421,A14M850094
732BR0422,A14M850038
732BR0423,A14M850040
732BR0424,A14M850039
732BR0425,A14M850017
732BR0426,A14M850099
732BR0427,A14H850026
732BR0428,A14M850045
732BR0429,A14M850044
732BR0430,A14M850084
732BR0431,A14M850093
732BR0432,A14M850083
732BR0433,A14M850091
732BR0434,A14M850082
732BR0435,A14M850043
732BR0436,A15A850026
732BR0437,A15A850025
732BR0438,A15A850027
732BR0439,A14L850111
732BR0440,A14L850112
732BR0441,A15A850028
732BR0442,A14M850081
732BR0443,A14M850042
732BR0444,A14M850046
732BR0445,A14M850086
732BR0446,A14L850114
732BR0447,A14M850047
732BR0448,A14G850054
732BR0449,A14L850098
732BR0450,A14L850113
732BR0451,A14M850033
732BR0452,A14L850097
732BR0453,A14J850016
732BR0454,A14M850080
732BR0456,A14M850074
732BR0457,A14M850063
732BR0458,A14M850072
732BR0459,A14M850075
732BR0460,A14L850089
732BR0461,A14M850062
732BR0462,A14M850073
732BR0463,A14M850065
732BR0464,A14M850030
732BR0465,A15A850007
732BR0466,A15A850005
732BR0467,A15A850006
732BR0468,A14M850032
732BR0469,A14M850064
732BR0470,A15A850022
732BR0471,A15A850008
732BR0472,A15A850020
732BR0473,A15A850019
732BR0474,A15A850021
732BR0475,A14M850008
732BR0476,A14M850066
732BR0477,A14M850006
732BR0478,A14M850007
732BR0479,A14M850067
732BR0480,A14M850025
732BR0481,A14M850087
732BR0482,A14M850021
732BR0483,A14M850024
732BR0484,A14M850089
732BR0485,A14M850018
732BR0486,A14M850069
732BR0487,A15A850016
732BR0488,A14M850009
732BR0489,A14M850059
732BR0490,A14M850050
732BR0491,A15A850017
732BR0492,A14M850058
732BR0493,A14M850022
732BR0494,A14M850068
732BR0495,A14M850051
732BR0496,A14M850060
732BR0497,A14M850023
732BR0498,A14L850104
732BR0499,A14M850079
732BR0500,A14M850052
732BR0501,A14M850070
732BR0502,A14M850100
732BR0503,A15A850034
732BR0504,A15A850012
732BR0505,A15A850014
732BR0506,A14M850101
732BR0507,A15A850013
732BR0508,A15A850033
732BR0509,A15A850023
732BR0510,A15A850030
732BR0511,A15A850036
732BR0512,A15A850011
732BR0513,A14M850078
732BR0515,A14L850103
732BR0516,A15A850024
732BR0517,A15A850031
732BR0518,A15A850029
732BR0519,A15A850009
732BR0520,A15A850004
732BR0521,A14M850076
732BR0522,A15A850015
732BR0523,A15A850070
732BR0524,A14M850077
732BR0525,A15A850040
732BR0526,A15A850069
732BR0527,A15A850037
732BR0528,A15A850038
732BR0529,A15A850003
732BR0530,A15A850074
732BR0531,A15A850075
732BR0532,A14L850106
732BR0533,A15A850049
732BR0534,A15A850076
732BR0535,A14L850105
732BR0536,A15A850042
732BR0537,A15A850050
732BR0538,A15A850043
732BR0539,A15A850001
732BR0540,A15A850094
732BR0541,A13G850005
732BR0542,A15A850044
732BR0543,A15A850039
732BR0544,A14L850022
732BR0545,A14K850050
732BR0546,A15A850095
732BR0547,A14K850051
732BR0548,A14L850038
